e911_calls.ai_crisis_classification,e911_calls.audio_duration_seconds,e911_calls.audio_file_name,e911_calls.call_id,e911_calls.call_priority,e911_calls.call_type,e911_calls.caller_age_estimate,e911_calls.caller_gender,e911_calls.caller_number,e911_calls.dispatcher_id,e911_calls.emotion_analysis,e911_calls.geolocation,e911_calls.incident_address,e911_calls.incident_risk_score,e911_calls.incident_type,e911_calls.known_individuals_involved,e911_calls.language_detected,e911_calls.location_type,e911_calls.notes,e911_calls.prior_incidents_last_30_days,e911_calls.repeat_call_location,e911_calls.response_status,e911_calls.response_time_seconds,e911_calls.response_unit_dispatched,e911_calls.suspected_substances,e911_calls.timestamp_received,e911_calls.transcription_keywords,e911_calls.transcription_source,e911_calls.transcription_status
"{""classified_as"":""Violent"",""confidence"":0.87,""model_version"":""amazon.titan-text-express-v1""}",34,911-20250415-0115.mp3,911-20250415-0115,High,Emergency,51,Other,0592745238,D6152,"{""agitation_level"":""Moderate"",""caller_sentiment"":""Panicked"",""urgency_score"":6.2}","{""census_tract"":""83860"",""county"":""New Canaan"",""latitude"":41.14676,""longitude"":-73.49484,""state"":""PA""}","2578 Amanda Crossing Apt. 672, Reillyberg, WA 72085",8.4,Burglary,True,English,Industrial,Project son rock two full both look always question bring agent pay detail group for part crime money sit short cultural base support quality whatever wish.,5,True,Arrived,427,Rescue 2,[],2025-04-15T14:37:18Z,"[""wish"",""former"",""relate"",""listen"",""face""]",AWS Transcribe,Completed
"{""classified_as"":""Substance Abuse"",""confidence"":0.92,""model_version"":""amazon.titan-text-express-v1""}",97,911-20250415-0698.mp3,911-20250415-0698,Critical,Emergency,37,Other,53418399557802,D4692,"{""agitation_level"":""Moderate"",""caller_sentiment"":""Calm"",""urgency_score"":8.4}","{""census_tract"":""92174"",""county"":""Jackson"",""latitude"":35.61452,""longitude"":-88.81395,""state"":""GA""}","PSC 2801, Box 7710, APO AA 17533",1.4,Domestic Disturbance,False,English,Apartment Complex,Produce number environment development half degree believe they politics recent perform air describe wear save buy more study security whom task.,3,True,Arrived,800,Rescue 14,"[""Marijuana""]",2025-04-15T12:34:24Z,"[""nor"",""guy"",""trial"",""card""]",AWS Transcribe,Completed
"{""classified_as"":""Substance Abuse"",""confidence"":0.93,""model_version"":""amazon.titan-text-express-v1""}",179,911-20250425-0039.mp3,911-20250425-0039,High,Emergency,21,Other,+10170462265,D3973,"{""agitation_level"":""Low"",""caller_sentiment"":""Panicked"",""urgency_score"":5.5}","{""census_tract"":""71669"",""county"":""Milledgeville"",""latitude"":33.08014,""longitude"":-83.2321,""state"":""SC""}","Unit 6766 Box 1825, DPO AE 23893",5.2,Drug Overdose,False,English,Highway,Leg rest interest here discover leave choice country themselves she allow produce past view threat drive attack order land.,0,False,Arrived,629,Rescue 15,"[""Unknown Pills""]",2025-04-25T02:00:11Z,"[""year"",""hotel"",""camera"",""without"",""strong"",""series""]",AWS Transcribe,Completed
"{""classified_as"":""Violent"",""confidence"":0.91,""model_version"":""amazon.titan-text-express-v1""}",177,911-20250427-0493.mp3,911-20250427-0493,Medium,Emergency,68,Male,001075199198177551,D4940,"{""agitation_level"":""High"",""caller_sentiment"":""Distressed"",""urgency_score"":8.8}","{""census_tract"":""97586"",""county"":""Morningside Heights"",""latitude"":40.81,""longitude"":-73.9625,""state"":""MD""}","1492 Harris Courts Suite 498, New Katherine, IA 68311",3.9,Robbery,False,English,Residential,Its here five today loss gun field partner possible remain police fill worker it likely manage from improve nor week rise stop enter.,2,False,Arrived,1140,Rescue 17,"[""Fentanyl""]",2025-04-27T12:02:58Z,"[""sister"",""from"",""now"",""evening""]",AWS Transcribe,Completed
"{""classified_as"":""None"",""confidence"":0.92,""model_version"":""amazon.titan-text-express-v1""}",176,911-20250503-0071.mp3,911-20250503-0071,Critical,Emergency,84,Male,6995866934,D7026,"{""agitation_level"":""Low"",""caller_sentiment"":""Calm"",""urgency_score"":9.0}","{""census_tract"":""50562"",""county"":""Greenville"",""latitude"":33.41012,""longitude"":-91.06177,""state"":""GA""}","7226 Cameron Plaza Suite 833, New Jennifer, MI 88630",8.0,Gunshots,False,English,Apartment Complex,Report set no old wall report purpose throw move there institution actually blood herself apply argue environment size worker raise.,2,False,Arrived,457,Rescue 16,"[""Unknown Pills""]",2025-05-03T19:02:20Z,"[""car"",""report"",""window"",""concern"",""my""]",AWS Transcribe,Completed
"{""classified_as"":""Violent"",""confidence"":0.82,""model_version"":""amazon.titan-text-express-v1""}",61,911-20250504-0983.mp3,911-20250504-0983,Medium,Emergency,17,Other,+16778134145244,D2991,"{""agitation_level"":""High"",""caller_sentiment"":""Distressed"",""urgency_score"":6.5}","{""census_tract"":""35579"",""county"":""Pottstown"",""latitude"":40.24537,""longitude"":-75.64963,""state"":""KY""}","9153 Lowery Ports Apt. 435, Port Abigailton, MS 27850",3.2,Gunshots,True,English,Commercial,Any federal pretty billion common she year sing without dog might series represent run.,0,True,Arrived,100,Rescue 13,"[""Unknown Pills""]",2025-05-04T13:23:26Z,"[""out"",""over"",""election"",""rule"",""hair"",""sister"",""daughter"",""true""]",AWS Transcribe,Completed
"{""classified_as"":""Violent"",""confidence"":0.92,""model_version"":""amazon.titan-text-express-v1""}",58,911-20250507-0244.mp3,911-20250507-0244,High,Emergency,47,Male,525483744171581,D2467,"{""agitation_level"":""Moderate"",""caller_sentiment"":""Panicked"",""urgency_score"":5.1}","{""census_tract"":""44898"",""county"":""Norwalk"",""latitude"":41.24255,""longitude"":-82.61573,""state"":""NC""}","31251 Ashley Freeway, Port Charlestown, MA 81432",4.1,Domestic Disturbance,False,English,Apartment Complex,Region current second ball begin week about social do anyone bag fly more.,2,False,Arrived,722,Rescue 14,"[""Alcohol""]",2025-05-07T10:47:34Z,"[""audience"",""old"",""whole"",""wide"",""piece"",""former"",""professor"",""partner""]",AWS Transcribe,Completed
"{""classified_as"":""Substance Abuse"",""confidence"":0.81,""model_version"":""amazon.titan-text-express-v1""}",115,911-20250508-0501.mp3,911-20250508-0501,Medium,Emergency,78,Female,+110657351745469,D5933,"{""agitation_level"":""Low"",""caller_sentiment"":""Calm"",""urgency_score"":8.3}","{""census_tract"":""57748"",""county"":""Bothell West"",""latitude"":47.80527,""longitude"":-122.24064,""state"":""TN""}","02140 Edward Plains Apt. 319, Michaelshire, NJ 74722",7.2,Fire,False,English,School,Tax recognize court generation matter traditional throw field can travel recognize above behavior hot.,2,True,Arrived,782,Rescue 1,"[""Unknown Pills""]",2025-05-08T11:48:14Z,"[""official"",""use"",""fund"",""serve"",""owner"",""beyond"",""upon""]",AWS Transcribe,Completed
"{""classified_as"":""Violent"",""confidence"":0.86,""model_version"":""amazon.titan-text-express-v1""}",53,911-20250511-0259.mp3,911-20250511-0259,Critical,Emergency,89,Other,001924358853798214,D1587,"{""agitation_level"":""Low"",""caller_sentiment"":""Calm"",""urgency_score"":6.5}","{""census_tract"":""33254"",""county"":""Fresno"",""latitude"":29.53885,""longitude"":-95.44744,""state"":""PA""}","527 Sanchez Orchard, Sarahmouth, MA 19682",9.1,Burglary,False,English,School,Until lawyer yard on everyone note current anything into word other live hit budget Congress guess soon approach.,2,False,Arrived,797,Rescue 19,"[""Fentanyl""]",2025-05-11T15:58:16Z,"[""effort"",""author"",""buy"",""heavy"",""nearly"",""hotel"",""at"",""speech""]",AWS Transcribe,Completed
"{""classified_as"":""Medical"",""confidence"":0.97,""model_version"":""amazon.titan-text-express-v1""}",51,911-20250413-0578.mp3,911-20250413-0578,Critical,Emergency,30,Other,343779824021168,D3871,"{""agitation_level"":""High"",""caller_sentiment"":""Distressed"",""urgency_score"":9.9}","{""census_tract"":""14798"",""county"":""Encinitas"",""latitude"":33.03699,""longitude"":-117.29198,""state"":""KY""}","79981 Denise Canyon, Hernandezport, MT 45564",2.3,Robbery,True,English,Highway,Mean later executive want get camera degree reduce maybe wear century see yeah station chance financial security campaign focus force attack.,5,True,Arrived,569,Rescue 13,[],2025-04-13T17:29:40Z,"[""year"",""mind"",""pattern"",""south"",""specific"",""quickly""]",AWS Transcribe,Completed
"{""classified_as"":""Violent"",""confidence"":0.96,""model_version"":""amazon.titan-text-express-v1""}",157,911-20250425-0292.mp3,911-20250425-0292,Medium,Emergency,73,Other,13638527789561,D3949,"{""agitation_level"":""Low"",""caller_sentiment"":""Calm"",""urgency_score"":9.9}","{""census_tract"":""41359"",""county"":""Hueytown"",""latitude"":33.45122,""longitude"":-86.99666,""state"":""OH""}","84449 Jessica Extension Suite 026, Williamville, KY 37825",4.8,Gunshots,True,English,Commercial,Move until toward scientist matter message trip avoid street police there thus open still bill cover mind wind commercial national same man rule paper.,2,False,Arrived,137,Rescue 20,[],2025-04-25T03:40:45Z,"[""yet"",""door"",""daughter"",""economic"",""big""]",AWS Transcribe,Completed
"{""classified_as"":""Substance Abuse"",""confidence"":0.86,""model_version"":""amazon.titan-text-express-v1""}",173,911-20250425-0557.mp3,911-20250425-0557,High,Emergency,70,Female,3919603482,D5173,"{""agitation_level"":""Low"",""caller_sentiment"":""Distressed"",""urgency_score"":7.8}","{""census_tract"":""50075"",""county"":""Brunswick"",""latitude"":43.91452,""longitude"":-69.96533,""state"":""NY""}","7883 Gonzalez Wells, East Stephanie, AK 04766",2.4,Medical,True,English,Public Park,Together event issue look Republican better discuss short candidate hundred black four three offer lose also employee message above billion see especially.,4,True,Arrived,885,Rescue 20,[],2025-04-25T07:54:34Z,"[""election"",""dog"",""effort"",""hair"",""find""]",AWS Transcribe,Completed
"{""classified_as"":""Substance Abuse"",""confidence"":0.89,""model_version"":""amazon.titan-text-express-v1""}",128,911-20250426-0592.mp3,911-20250426-0592,High,Emergency,72,Female,+191540273201295,D5789,"{""agitation_level"":""Moderate"",""caller_sentiment"":""Panicked"",""urgency_score"":5.1}","{""census_tract"":""30242"",""county"":""Kent"",""latitude"":47.38093,""longitude"":-122.23484,""state"":""TN""}","04231 Holly Trace Suite 820, Allisonville, UT 04765",8.7,Mental Health Crisis,False,English,Industrial,Remember design might kitchen station outside those only moment security even respond point force money bit teach movie magazine.,0,True,Arrived,360,Rescue 5,[],2025-04-26T19:02:57Z,"[""note"",""travel"",""argue"",""whether"",""father""]",AWS Transcribe,Completed
"{""classified_as"":""None"",""confidence"":0.85,""model_version"":""amazon.titan-text-express-v1""}",83,911-20250429-0897.mp3,911-20250429-0897,Medium,Emergency,41,Other,7601231625751,D1591,"{""agitation_level"":""Moderate"",""caller_sentiment"":""Panicked"",""urgency_score"":7.2}","{""census_tract"":""98228"",""county"":""Thomasville"",""latitude"":35.88264,""longitude"":-80.08199,""state"":""VA""}","36685 Callahan Garden, Chaneybury, KY 59618",7.3,Medical,True,English,Commercial,Me tend dinner answer computer community source movie court create table will form both cause professional various season day senior beat.,5,False,Arrived,321,Rescue 1,"[""Alcohol""]",2025-04-29T11:18:56Z,"[""will"",""stage"",""before"",""really"",""especially""]",AWS Transcribe,Completed
"{""classified_as"":""None"",""confidence"":0.98,""model_version"":""amazon.titan-text-express-v1""}",55,911-20250430-0467.mp3,911-20250430-0467,Low,Emergency,61,Other,038917369078947,D9250,"{""agitation_level"":""Moderate"",""caller_sentiment"":""Calm"",""urgency_score"":5.8}","{""census_tract"":""98432"",""county"":""Mechanicsville"",""latitude"":37.60876,""longitude"":-77.37331,""state"":""SC""}","00521 Hale Courts, South Robinmouth, NE 32147",8.2,Robbery,True,English,Residential,Bit describe according he share think once ball enter politics gun various inside line pattern general hope boy control into.,4,True,Arrived,894,Rescue 11,"[""Fentanyl""]",2025-04-30T23:07:48Z,"[""especially"",""half"",""some"",""some"",""provide"",""study""]",AWS Transcribe,Completed
"{""classified_as"":""None"",""confidence"":0.81,""model_version"":""amazon.titan-text-express-v1""}",59,911-20250501-0676.mp3,911-20250501-0676,Low,Emergency,35,Other,+19203028757,D3606,"{""agitation_level"":""Low"",""caller_sentiment"":""Panicked"",""urgency_score"":9.2}","{""census_tract"":""21727"",""county"":""Odessa"",""latitude"":31.84568,""longitude"":-102.36764,""state"":""PA""}","923 Jason Bridge Suite 778, Rodriguezburgh, WV 78763",1.5,Gunshots,False,English,Apartment Complex,Ask type example success live else guy reason finally director ground concern kitchen feel southern question we million certainly task cause information such.,1,True,Arrived,978,Rescue 7,"[""Marijuana""]",2025-05-01T05:21:43Z,"[""line"",""up"",""her"",""game""]",AWS Transcribe,Completed
"{""classified_as"":""Substance Abuse"",""confidence"":0.95,""model_version"":""amazon.titan-text-express-v1""}",93,911-20250501-0959.mp3,911-20250501-0959,Medium,Emergency,74,Male,502578709095902,D9736,"{""agitation_level"":""Moderate"",""caller_sentiment"":""Distressed"",""urgency_score"":6.8}","{""census_tract"":""24505"",""county"":""Lino Lakes"",""latitude"":45.16024,""longitude"":-93.08883,""state"":""PA""}","990 Myers Locks Apt. 991, Port Aimee, KY 70051",5.5,Fire,False,English,Public Park,Well public little at true leader continue in type now federal pull conference his between take religious plan left music rock.,5,False,Arrived,918,Rescue 19,[],2025-05-01T21:23:42Z,"[""senior"",""could"",""card"",""only"",""we"",""bag"",""red""]",AWS Transcribe,Completed
"{""classified_as"":""Substance Abuse"",""confidence"":0.88,""model_version"":""amazon.titan-text-express-v1""}",107,911-20250509-0583.mp3,911-20250509-0583,Medium,Emergency,78,Male,1846512421,D7048,"{""agitation_level"":""Moderate"",""caller_sentiment"":""Panicked"",""urgency_score"":5.8}","{""census_tract"":""55259"",""county"":""Odessa"",""latitude"":31.84568,""longitude"":-102.36764,""state"":""PA""}","378 Thomas Station Apt. 483, Kinghaven, CO 90848",7.1,Fire,False,English,Residential,Cold performance matter senior TV decade table cover ready from market major leave mind live hand decide small.,3,False,Arrived,1144,Rescue 7,[],2025-05-09T17:37:41Z,"[""improve"",""full"",""glass"",""guess"",""world"",""need"",""personal"",""head""]",AWS Transcribe,Completed
"{""classified_as"":""Violent"",""confidence"":0.94,""model_version"":""amazon.titan-text-express-v1""}",153,911-20250413-0761.mp3,911-20250413-0761,Low,Emergency,57,Male,+14371492627,D4119,"{""agitation_level"":""High"",""caller_sentiment"":""Distressed"",""urgency_score"":6.6}","{""census_tract"":""93498"",""county"":""Venice"",""latitude"":27.09978,""longitude"":-82.45426,""state"":""SC""}","60012 Gutierrez Heights Suite 096, West Cassidyton, CO 01333",6.8,Fire,True,English,Highway,Final wall very eat area listen million environmental hundred pressure than road television practice choose state treat fire start candidate.,4,False,Arrived,229,Rescue 3,"[""Fentanyl""]",2025-04-13T11:21:26Z,"[""another"",""blood"",""hot"",""strong"",""or""]",AWS Transcribe,Completed
"{""classified_as"":""Substance Abuse"",""confidence"":0.84,""model_version"":""amazon.titan-text-express-v1""}",98,911-20250415-0228.mp3,911-20250415-0228,Low,Emergency,46,Female,001841560821371184,D9715,"{""agitation_level"":""High"",""caller_sentiment"":""Panicked"",""urgency_score"":7.3}","{""census_tract"":""90375"",""county"":""Rosemount"",""latitude"":44.73941,""longitude"":-93.12577,""state"":""PA""}","7681 Raymond Pass Apt. 230, Lake Julie, PA 20393",2.6,Traffic Accident,False,English,Apartment Complex,Hear beyond close plant peace successful seem charge walk participant teach everything where we fast too.,0,True,Arrived,643,Rescue 9,[],2025-04-15T20:17:09Z,"[""none"",""most"",""another"",""mouth"",""much"",""really"",""young""]",AWS Transcribe,Completed
"{""classified_as"":""Violent"",""confidence"":0.94,""model_version"":""amazon.titan-text-express-v1""}",93,911-20250418-0615.mp3,911-20250418-0615,High,Emergency,44,Male,3867077604,D2724,"{""agitation_level"":""High"",""caller_sentiment"":""Panicked"",""urgency_score"":8.0}","{""census_tract"":""22424"",""county"":""Bourbonnais"",""latitude"":41.15376,""longitude"":-87.88754,""state"":""NC""}","987 Erickson Mountains, Brettside, NM 64306",7.6,Traffic Accident,True,English,Industrial,Strategy recognize think have authority reach sport senior research manage true exist left window general consumer get those.,1,False,Arrived,638,Rescue 13,[],2025-04-18T07:14:12Z,"[""tell"",""avoid"",""large"",""full"",""soldier"",""successful"",""appear""]",AWS Transcribe,Completed
"{""classified_as"":""None"",""confidence"":0.87,""model_version"":""amazon.titan-text-express-v1""}",69,911-20250420-0402.mp3,911-20250420-0402,Medium,Emergency,31,Female,001604134820849315,D5476,"{""agitation_level"":""High"",""caller_sentiment"":""Panicked"",""urgency_score"":5.2}","{""census_tract"":""61229"",""county"":""Brighton Beach"",""latitude"":40.57788,""longitude"":-73.95958,""state"":""PA""}","122 Smith Avenue, West Kennethmouth, FL 81364",3.0,Fire,False,English,Commercial,Room nor design brother daughter specific many charge player myself car option music popular strategy himself civil skill vote.,1,False,Arrived,82,Rescue 3,[],2025-04-20T14:29:44Z,"[""right"",""want"",""what"",""figure"",""present"",""dinner"",""almost""]",AWS Transcribe,Completed
"{""classified_as"":""Substance Abuse"",""confidence"":0.86,""model_version"":""amazon.titan-text-express-v1""}",100,911-20250421-0034.mp3,911-20250421-0034,Critical,Emergency,45,Female,+174801624565060,D3073,"{""agitation_level"":""Moderate"",""caller_sentiment"":""Calm"",""urgency_score"":7.9}","{""census_tract"":""33519"",""county"":""Kent"",""latitude"":47.38093,""longitude"":-122.23484,""state"":""KY""}","8416 Duran Harbors, East Theresafurt, WY 44945",3.6,Assault,True,English,Public Park,Matter and case four listen lead paper middle foreign party class wrong school federal from stock mother remember feel staff happy purpose.,4,True,Arrived,1153,Rescue 1,"[""Marijuana""]",2025-04-21T10:09:48Z,"[""newspaper"",""hand"",""certain"",""own""]",AWS Transcribe,Completed
"{""classified_as"":""None"",""confidence"":0.81,""model_version"":""amazon.titan-text-express-v1""}",169,911-20250421-0323.mp3,911-20250421-0323,Critical,Emergency,79,Female,0017312616850710,D9856,"{""agitation_level"":""Moderate"",""caller_sentiment"":""Distressed"",""urgency_score"":9.3}","{""census_tract"":""76164"",""county"":""Huntley"",""latitude"":42.16808,""longitude"":-88.42814,""state"":""MD""}","19509 Megan Valley, Port Dianemouth, NE 11100",8.9,Burglary,True,English,Public Park,Current allow audience involve finish address whatever eight red write beautiful mean size no force.,3,True,Arrived,763,Rescue 18,"[""Marijuana""]",2025-04-21T19:16:03Z,"[""section"",""analysis"",""guy"",""water"",""television"",""key"",""start""]",AWS Transcribe,Completed
"{""classified_as"":""Medical"",""confidence"":0.98,""model_version"":""amazon.titan-text-express-v1""}",167,911-20250428-0547.mp3,911-20250428-0547,High,Emergency,86,Female,2718624475631,D6932,"{""agitation_level"":""Low"",""caller_sentiment"":""Distressed"",""urgency_score"":6.7}","{""census_tract"":""95843"",""county"":""Bon Air"",""latitude"":37.52487,""longitude"":-77.55777,""state"":""NC""}","13807 Angela Oval, South Robertmouth, ME 45945",4.6,Medical,True,English,Residential,Remember fast mission agreement pick nearly mission full away commercial production relate high once treat firm weight evening operation resource.,4,True,Arrived,491,Rescue 17,[],2025-04-28T04:18:31Z,"[""performance"",""member"",""message"",""heavy"",""government""]",AWS Transcribe,Completed
"{""classified_as"":""Substance Abuse"",""confidence"":0.93,""model_version"":""amazon.titan-text-express-v1""}",174,911-20250428-0891.mp3,911-20250428-0891,Critical,Emergency,58,Female,25990028422417,D6296,"{""agitation_level"":""Low"",""caller_sentiment"":""Calm"",""urgency_score"":7.0}","{""census_tract"":""82939"",""county"":""Lutz"",""latitude"":28.15112,""longitude"":-82.46148,""state"":""NY""}","313 Vasquez Harbor, West Austin, AR 45248",6.3,Mental Health Crisis,True,English,Apartment Complex,Early girl boy impact clear class bank these task party until main industry happy explain compare begin.,1,True,Arrived,983,Rescue 18,"[""Alcohol""]",2025-04-28T05:44:03Z,"[""school"",""list"",""color"",""religious"",""police"",""marriage""]",AWS Transcribe,Completed
"{""classified_as"":""None"",""confidence"":0.84,""model_version"":""amazon.titan-text-express-v1""}",171,911-20250429-0529.mp3,911-20250429-0529,High,Emergency,87,Female,+124741117367038,D5529,"{""agitation_level"":""Low"",""caller_sentiment"":""Calm"",""urgency_score"":6.1}","{""census_tract"":""63557"",""county"":""Redding"",""latitude"":40.58654,""longitude"":-122.39168,""state"":""GA""}","7611 Michael Point Suite 233, Port Alexiston, MO 33170",2.6,Traffic Accident,False,English,Residential,Memory development training ten son always line respond modern bar PM director interview good try.,3,True,Arrived,222,Rescue 19,"[""Alcohol""]",2025-04-29T09:56:36Z,"[""allow"",""way"",""record"",""official"",""coach"",""education"",""point""]",AWS Transcribe,Completed
"{""classified_as"":""Medical"",""confidence"":0.92,""model_version"":""amazon.titan-text-express-v1""}",108,911-20250430-0641.mp3,911-20250430-0641,Low,Emergency,78,Male,435074509332809,D7370,"{""agitation_level"":""High"",""caller_sentiment"":""Calm"",""urgency_score"":6.5}","{""census_tract"":""74387"",""county"":""Westchester"",""latitude"":41.85059,""longitude"":-87.882,""state"":""VA""}","24404 Christopher River Apt. 771, East Erica, UT 32158",7.3,Gunshots,False,English,Residential,Job gas kid ask camera ground water front finally unit explain visit conference hope into fund raise oil sometimes officer thank parent conference remain.,5,False,Arrived,1051,Rescue 11,[],2025-04-30T07:18:53Z,"[""voice"",""can"",""thank"",""listen"",""poor""]",AWS Transcribe,Completed
"{""classified_as"":""Medical"",""confidence"":0.91,""model_version"":""amazon.titan-text-express-v1""}",65,911-20250509-0307.mp3,911-20250509-0307,Critical,Emergency,34,Other,662159183270004,D1656,"{""agitation_level"":""High"",""caller_sentiment"":""Calm"",""urgency_score"":6.6}","{""census_tract"":""67947"",""county"":""Crystal Lake"",""latitude"":42.24113,""longitude"":-88.3162,""state"":""NY""}","45901 Brent Radial Suite 714, North Kaitlynview, IA 71788",4.6,Medical,True,English,Public Park,Off fire property remain first common eight participant also operation position our market tree situation more manage difference.,0,False,Arrived,1040,Rescue 4,[],2025-05-09T20:26:27Z,"[""should"",""need"",""star"",""none"",""record"",""religious""]",AWS Transcribe,Completed
"{""classified_as"":""Medical"",""confidence"":0.94,""model_version"":""amazon.titan-text-express-v1""}",86,911-20250419-0100.mp3,911-20250419-0100,High,Emergency,80,Female,001317807823578452,D4618,"{""agitation_level"":""Moderate"",""caller_sentiment"":""Panicked"",""urgency_score"":7.7}","{""census_tract"":""25389"",""county"":""North Lauderdale"",""latitude"":26.2173,""longitude"":-80.22588,""state"":""TN""}","230 Hughes Way, North Larryton, PA 11914",5.1,Mental Health Crisis,True,English,Industrial,Fly court everybody five kid brother chance event address performance method deal go five center region exist.,1,False,Arrived,812,Rescue 10,[],2025-04-19T18:05:00Z,"[""four"",""threat"",""billion"",""she"",""seat"",""against"",""serve""]",AWS Transcribe,Completed
"{""classified_as"":""None"",""confidence"":0.95,""model_version"":""amazon.titan-text-express-v1""}",116,911-20250421-0821.mp3,911-20250421-0821,Low,Emergency,43,Other,1974357529,D7230,"{""agitation_level"":""Low"",""caller_sentiment"":""Distressed"",""urgency_score"":5.9}","{""census_tract"":""48484"",""county"":""Bridgeport"",""latitude"":41.16704,""longitude"":-73.20483,""state"":""VA""}","568 Jacqueline Plaza Suite 690, North Matthewside, DC 28165",2.6,Traffic Accident,True,English,Highway,Six question above win general occur always to large catch reason sit anything voice speak list machine city expert.,5,True,Arrived,943,Rescue 7,"[""Unknown Pills""]",2025-04-21T14:37:48Z,"[""herself"",""charge"",""region"",""fall"",""population""]",AWS Transcribe,Completed
"{""classified_as"":""Violent"",""confidence"":0.86,""model_version"":""amazon.titan-text-express-v1""}",167,911-20250427-0846.mp3,911-20250427-0846,High,Emergency,39,Other,+136733614247415,D7917,"{""agitation_level"":""High"",""caller_sentiment"":""Distressed"",""urgency_score"":7.8}","{""census_tract"":""92128"",""county"":""Dublin"",""latitude"":32.54044,""longitude"":-82.90375,""state"":""OH""}","3295 Perry Circles, Williamburgh, KS 86036",6.6,Robbery,True,English,School,Art hit employee treatment ahead manage effort beat help agent rise article rock choice include member dark.,5,False,Arrived,1178,Rescue 9,"[""Fentanyl""]",2025-04-27T20:20:22Z,"[""drug"",""feeling"",""garden"",""kitchen"",""class"",""last"",""gun"",""many""]",AWS Transcribe,Completed
"{""classified_as"":""Substance Abuse"",""confidence"":0.98,""model_version"":""amazon.titan-text-express-v1""}",52,911-20250429-0448.mp3,911-20250429-0448,Low,Emergency,83,Other,3367960828,D7292,"{""agitation_level"":""Low"",""caller_sentiment"":""Panicked"",""urgency_score"":9.1}","{""census_tract"":""58705"",""county"":""Aurora"",""latitude"":39.72943,""longitude"":-104.83192,""state"":""NY""}","136 Melissa Route Suite 946, North Anna, MT 37192",7.7,Burglary,True,English,Commercial,Hear station wide themselves back together factor body general tonight resource thus politics must any weight safe.,5,True,Arrived,490,Rescue 9,[],2025-04-29T13:02:38Z,"[""nothing"",""street"",""box"",""could"",""end"",""hard"",""test"",""traditional""]",AWS Transcribe,Completed
"{""classified_as"":""Substance Abuse"",""confidence"":0.84,""model_version"":""amazon.titan-text-express-v1""}",65,911-20250502-0395.mp3,911-20250502-0395,Critical,Emergency,67,Other,8756467263,D1527,"{""agitation_level"":""Low"",""caller_sentiment"":""Calm"",""urgency_score"":9.7}","{""census_tract"":""49274"",""county"":""Cypress Hills"",""latitude"":40.67705,""longitude"":-73.89125,""state"":""PA""}","4185 Shawna Drive, Alvarezburgh, DE 01954",6.7,Mental Health Crisis,True,English,Public Park,Guy send into front already relationship know trip option early agree low key decision stage likely social toward.,4,False,Arrived,107,Rescue 19,[],2025-05-02T15:59:56Z,"[""since"",""final"",""American"",""lawyer"",""subject"",""no"",""after""]",AWS Transcribe,Completed
"{""classified_as"":""Violent"",""confidence"":0.82,""model_version"":""amazon.titan-text-express-v1""}",40,911-20250504-0470.mp3,911-20250504-0470,Medium,Emergency,76,Female,6291187228,D8999,"{""agitation_level"":""High"",""caller_sentiment"":""Distressed"",""urgency_score"":7.6}","{""census_tract"":""67939"",""county"":""Huntley"",""latitude"":42.16808,""longitude"":-88.42814,""state"":""TN""}","83018 Sean Prairie Suite 075, Foxhaven, KS 76070",4.7,Mental Health Crisis,False,English,Industrial,Make book national important from individual might believe people production yet through act baby.,3,False,Arrived,313,Rescue 5,"[""Unknown Pills""]",2025-05-04T08:48:08Z,"[""local"",""expect"",""pass"",""person"",""arm"",""claim"",""than""]",AWS Transcribe,Completed
"{""classified_as"":""None"",""confidence"":0.81,""model_version"":""amazon.titan-text-express-v1""}",130,911-20250509-0888.mp3,911-20250509-0888,High,Emergency,55,Female,18286549078725,D1045,"{""agitation_level"":""High"",""caller_sentiment"":""Calm"",""urgency_score"":6.1}","{""census_tract"":""59147"",""county"":""Norco"",""latitude"":33.93113,""longitude"":-117.54866,""state"":""NY""}","1519 Audrey Mount Suite 770, Claytonshire, TN 04384",7.8,Assault,False,English,Apartment Complex,Staff commercial my small news here over within size onto hair wide machine say really on suffer though indeed stuff book.,3,False,Arrived,102,Rescue 8,"[""Unknown Pills""]",2025-05-09T16:25:10Z,"[""would"",""race"",""begin"",""prove"",""only"",""both""]",AWS Transcribe,Completed
"{""classified_as"":""Violent"",""confidence"":0.87,""model_version"":""amazon.titan-text-express-v1""}",62,911-20250510-0715.mp3,911-20250510-0715,High,Emergency,67,Other,99064949356580,D9187,"{""agitation_level"":""Moderate"",""caller_sentiment"":""Panicked"",""urgency_score"":9.5}","{""census_tract"":""78612"",""county"":""Deltona"",""latitude"":28.90054,""longitude"":-81.26367,""state"":""TN""}","PSC 3638, Box 3647, APO AE 22094",6.4,Domestic Disturbance,True,English,School,Although role dog ask shake father poor contain evening player situation piece report husband easy parent side role employee deep trade report adult reduce.,0,True,Arrived,1090,Rescue 6,"[""Marijuana""]",2025-05-10T00:48:12Z,"[""fight"",""foot"",""member"",""season""]",AWS Transcribe,Completed
